OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,City,State,ZipCode,Latitude,Longitude,Address,TotalGHGEmissions,GHGEmissionsIntensity,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),MainEnergy,SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
163,2015,Nonresidential COS,Other,FIRE STATION 10/FAC/EOC,2,DOWNTOWN,2006,1.0,4.0,61156,0,61156.0,"('Office', ' Other')",Other,42755.0,Office,29219.0,Inutilisable,0.0,[],,145.0,153.3,361.9,363.1,10434688.0,11034854.0,0.0,2116762.0,7222692.0,32120.0,3211996.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98104.0,47.60158047,-122.32771508,105 5TH AVE S,220.94,3.1,61156,9,12231.2,0.0,False,False,0,0.0,0.692180925773727,0.30781907422627297,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.08061252468275396,16.216569366955635,5.397891171444129
384,2015,NonResidential,Non-Refrigerated Warehouse,BUNGE FOODS,2,GREATER DUWAMISH,1977,1.0,1.0,128800,0,128800.0,"('Non-Refrigerated Warehouse', ' Other')",Non-Refrigerated Warehouse,119200.0,Other,9600.0,Inutilisable,0.0,[],97.0,14.5,19.7,21.2,26.6,1869590.0,2536790.0,0.0,107146.0,365596.0,15040.0,1503994.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98108.0,47.54032619,-122.33015747,6901 FOX AVE S,82.43,0.63,128800,38,64400.0,0.0,False,False,0,0.0,0.19554875667927193,0.804451243320728,0.0,NaturalGas,(s),(e),N,(o),(s)(e)N(o),0.12687331923589312,14.746410060224365,4.411949448325136
32,2015,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - HILTON,7,EAST,1991,1.0,8.0,158676,30301,128375.0,"('Hotel', ' Parking', ' Retail Store', ' Swimming Pool')",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,[],,44.0,46.3,55.7,58.1,5159364.0,5421759.0,0.0,156133.0,532747.0,46266.0,4626617.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98101.0,47.61300278,-122.32923126,1011 PIKE ST,249.43,1.56,158676,24,14263.888888888889,0.19096145604880385,False,False,0,0.0,0.10325826981775273,0.8967417301822472,0.0,NaturalGas,(s),(e),N,(o),(s)(e)N(o),0.05481625872643558,15.50593085950991,5.519178314704694
752,2015,NonResidential,Large Office,ACTIVE VOICE  BUILDING (FORMERLY SIXTH & LENORA),7,DOWNTOWN,1963,1.0,11.0,169020,0,169020.0,"('Bar/Nightclub', ' Office', ' Personal Services (Health/Beauty', ' Dry Cleaning', ' etc)')",Office,156414.0,Bar/Nightclub,10337.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",8208.0,[],90.0,57.8,62.0,135.5,137.8,10111080.0,10845096.0,2726250.0,1777593.0,6065399.0,13194.0,1319431.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98121.0,47.61439383,-122.33913932,2033 6TH AVE,322.79,1.76,169020,52,14085.0,0.0,False,False,0,0.2696299505097378,0.5998764721473868,0.13049357734287534,0.0,Electricity,(s),e,(n),(o),(s)e(n)(o),0.052222527796222426,16.199223554209464,5.7770019569816125
574,2015,NonResidential,Retail Store,MACY'S - NORTHGATE,5,NORTH,1950,1.0,2.0,302812,0,302812.0,"('Retail Store',)",Retail Store,302812.0,Inutilisable,0.0,Inutilisable,0.0,[],97.0,23.6,23.0,64.1,62.3,7134003.0,6962648.0,0.0,1671351.0,5702886.0,14311.0,1431117.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98125.0,47.70592963,-122.3257763,401 NE NORTHGATE WAY,115.76,0.3,302812,65,100937.33333333333,0.0,False,False,0,0.0,0.7993949539970757,0.2006050460029243,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.08666431607433314,15.756070419724251,4.751519082323228
400,2015,NonResidential,Small- and Mid-Sized Office,GALLAND & SENECA BUILDINGS,7,DOWNTOWN,1906,1.0,6.0,98370,25920,72450.0,"('Office',)",Office,98370.0,Inutilisable,0.0,Inutilisable,0.0,[],45.0,66.3,66.5,207.5,207.7,6526155.0,6541579.0,0.0,1901522.0,6488262.0,379.0,37893.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98101.0,47.60679898,-122.3371001,1201 2ND AVE,47.24,0.2,98370,109,10350.0,0.26349496797804206,False,False,0,0.0,0.994193671465051,0.005806328534948986,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.0654885643067158,15.693689131600953,3.8552409913291616
224,2015,NonResidential,Retail Store,WESTWOOD VILLAGE - BLDG B (INCLUDES QFC),1,DELRIDGE,1965,1.0,1.0,67745,0,67745.0,"('Retail Store',)",Retail Store,67782.0,Inutilisable,0.0,Inutilisable,0.0,[],31.0,141.1,152.2,241.1,250.6,9561090.0,10315565.0,0.0,883932.0,3016102.0,65450.0,6544988.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98126.0,47.52131741,-122.3668974,2600 SW BARTON ST,368.63,5.25,67745,50,33872.5,0.0,False,False,0,0.0,0.3154558737549798,0.6845441262450201,0.0,NaturalGas,(s),(e),N,(o),(s)(e)N(o),0.1328449461094062,16.14916447758751,5.909793430963424
38,2015,NonResidential,Small- and Mid-Sized Office,HOUSE OF GOOD SHEPHERD,4,LAKE UNION,1906,1.0,3.0,87262,0,87262.0,"('K-12 School', ' Multifamily Housing', ' Office', ' Other - Entertainment/Public Assembly')",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,[],,59.2,66.3,104.1,112.3,3988785.0,4470231.0,0.0,396679.0,1353524.0,26353.0,2635261.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98103.0,47.66391557,-122.33172174,4649 SUNNYSIDE AVE N,149.39,1.65,87262,109,21815.5,0.0,False,False,0,0.0,0.33933240322554364,0.6606675967744564,0.0,NaturalGas,(s),e,n,(o),(s)en(o),0.08263734802398638,15.312950643106847,5.006560336054226
622,2015,NonResidential,Other,PACIFIC GALLERIES ANTIQUE MALL,2,GREATER DUWAMISH,1953,1.0,2.0,76442,0,76442.0,"('Distribution Center', ' Office', ' Other')",Other,50500.0,Distribution Center,18000.0,Office,7604.0,[],,44.2,54.1,93.4,102.6,3366599.0,4117374.0,0.0,500759.0,1708662.0,16579.0,1657937.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98134.0,47.57886723,-122.3313026,241 S LANDER ST,99.96,1.21,76442,62,25480.666666666668,0.0,False,False,0,0.0,0.507533567258827,0.4924664327411729,0.0,Electricity,(s),e,n,(o),(s)en(o),0.09913254680899981,15.230726139472813,4.604770105966751
314,2015,NonResidential,Hotel,EDGEWATER INN,7,DOWNTOWN,1961,1.0,4.0,122309,0,122309.0,"('nan',)",Aucune information,109118.66666666667,Inutilisable,0.0,Inutilisable,0.0,[],13.0,196.7,204.8,317.7,323.3,24060602.0,25053130.0,0.0,1906367.0,6504794.0,175558.0,17555808.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98121.0,47.61245737,-122.3521832,2411 ALASKAN WAY,977.73,7.77,122309,54,24461.8,0.0,False,False,0,0.0,0.27035042597853537,0.7296495740214647,0.0,NaturalGas,(s),(e),N,(o),(s)(e)N(o),0.07001945289009286,17.036509327789336,6.8852335582998485
